ObjectID,ParentObjectID,HeaderObjectID,External_Key,LeadExternalKey,ID,Text,Language_Code,Language_Code_Text,Type_Code,Type_Code_Text,Author_UUID,Author_Name,Created_On,Updated_On
SYNTH-NOTE-0000025,SYNTH-LEAD-000016,SYNTH-LEAD-000016,,,25,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2020-09-24T14:35:27.000000Z,2020-10-21T14:35:27.000000Z
SYNTH-NOTE-0000026,SYNTH-LEAD-000017,SYNTH-LEAD-000017,,,26,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2018-08-18T03:25:03.000000Z,2018-09-04T03:25:03.000000Z
SYNTH-NOTE-0000027,SYNTH-LEAD-000018,SYNTH-LEAD-000018,,,27,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2022-01-06T23:33:48.000000Z,2022-01-30T23:33:48.000000Z
SYNTH-NOTE-0000028,SYNTH-LEAD-000018,SYNTH-LEAD-000018,,,28,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2022-01-18T23:38:03.000000Z,2022-02-09T23:38:03.000000Z
SYNTH-NOTE-0000029,SYNTH-LEAD-000019,SYNTH-LEAD-000019,,,29,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2018-07-25T17:34:40.000000Z,2018-08-18T17:34:40.000000Z
SYNTH-NOTE-0000030,SYNTH-LEAD-000019,SYNTH-LEAD-000019,,,30,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2018-07-26T23:04:35.000000Z,2018-08-14T23:04:35.000000Z
SYNTH-NOTE-0000031,SYNTH-LEAD-000019,SYNTH-LEAD-000019,,,31,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2018-08-07T23:16:32.000000Z,2018-08-10T23:16:32.000000Z
SYNTH-NOTE-0000032,SYNTH-LEAD-000019,SYNTH-LEAD-000019,,,32,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2018-08-20T03:41:46.000000Z,2018-08-28T03:41:46.000000Z
SYNTH-NOTE-0000033,SYNTH-LEAD-000020,SYNTH-LEAD-000020,,,33,Synthetic customer requested technical product information.,,,10001,Additional External Comment,,,2020-08-25T02:58:22.000000Z,2020-09-02T02:58:22.000000Z
SYNTH-NOTE-0000034,SYNTH-LEAD-000020,SYNTH-LEAD-000020,,,34,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2020-09-16T23:07:05.000000Z,2020-09-30T23:07:05.000000Z
