Sales_Rank,Lead_ID,Lead_Score,Lead_Category,Predicted_Probability,Predicted_Converted,Actual_Converted,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
11,841,100,Hot,0.99751043,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Other Cities,02.Medium,01.High,15.0,18.0,No,No,Modified
12,76,100,Hot,0.9959961,1,1,Landing Page Submission,Google,No,No,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
13,5695,100,Hot,0.99532264,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
14,808,100,Hot,0.99543923,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,02.Medium,01.High,14.0,17.0,No,No,Email Opened
15,1577,100,Hot,0.9978389,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Thane & Outskirts,02.Medium,01.High,14.0,19.0,No,No,Email Opened
16,8074,100,Hot,0.9981153,1,1,Lead Add Form,Reference,No,No,,1650,,Unreachable,,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,02.Medium,01.High,14.0,19.0,No,No,Modified
17,2962,100,Hot,0.99535996,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,,,,,,No,No,SMS Sent
18,5802,100,Hot,0.99532264,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
19,8434,100,Hot,0.99512,1,1,Lead Add Form,Reference,No,No,,1458,,,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,02.Medium,01.High,14.0,17.0,No,No,Modified
20,1070,100,Hot,0.9963989,1,1,Landing Page Submission,Organic Search,No,No,5.0,957,5.0,SMS Sent,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,SMS Sent
21,2533,100,Hot,0.9964265,1,1,Landing Page Submission,Google,No,No,4.0,784,4.0,Page Visited on Website,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
22,1748,100,Hot,0.99655294,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,1232,2.0,SMS Sent,India,Supply Chain Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
23,8505,100,Hot,0.9961593,1,1,Landing Page Submission,Google,No,No,7.0,1721,3.5,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,SMS Sent
24,7036,100,Hot,0.9958385,1,1,API,Google,No,No,2.0,1311,1.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
25,8867,100,Hot,0.9958198,1,1,Landing Page Submission,Google,No,No,4.0,1268,4.0,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Low in Relevance,No,No,Other Metro Cities,02.Medium,01.High,15.0,18.0,No,No,Email Opened
26,7927,100,Hot,0.997045,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Tier II Cities,02.Medium,01.High,14.0,17.0,No,No,Email Opened
27,8089,100,Hot,0.99565387,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,SMS Sent
28,482,100,Hot,0.9977296,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,No,Modified
29,8106,100,Hot,0.99565387,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Supply Chain Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,SMS Sent
30,4782,100,Hot,0.99532264,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
31,3424,100,Hot,0.9978393,1,1,Lead Add Form,Reference,No,No,,1540,,,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,,,,,No,No,Modified
32,1368,100,Hot,0.99779993,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,1346,3.0,Email Opened,Bahrain,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Email Opened
33,3019,100,Hot,0.99535996,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,,,,,,No,No,SMS Sent
34,2856,100,Hot,0.9953962,1,1,API,Olark Chat,No,No,6.0,781,2.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
35,4291,100,Hot,0.9974989,1,1,Landing Page Submission,Google,No,No,5.0,1125,5.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Email Opened
36,7753,100,Hot,0.9975804,1,1,Landing Page Submission,Direct Traffic,No,No,6.0,745,1.5,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,Yes,Email Opened
37,88,100,Hot,0.9953961,1,1,Lead Add Form,Reference,No,No,,1007,,,,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified
38,1730,100,Hot,0.9953219,1,1,Landing Page Submission,Google,No,No,1.0,1716,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified
39,8070,100,Hot,0.99565387,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,SMS Sent
40,8946,100,Hot,0.99672925,1,1,Landing Page Submission,Organic Search,No,No,10.0,1361,2.5,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Metro Cities,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
41,2378,100,Hot,0.995112,1,1,Lead Add Form,Welingak Website,No,No,13.0,979,3.25,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Mumbai,02.Medium,01.High,15.0,17.0,No,Yes,Modified
42,2680,100,Hot,0.9968111,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
43,120,100,Hot,0.9964349,1,1,Lead Add Form,Reference,No,No,,1111,,,,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Other Cities,02.Medium,01.High,14.0,18.0,No,No,Modified
44,5795,100,Hot,0.9955238,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
45,1869,100,Hot,0.99770314,1,1,Landing Page Submission,Google,No,No,7.0,842,3.5,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,SMS Sent
46,9062,100,Hot,0.9970669,1,1,Landing Page Submission,Organic Search,No,No,8.0,1332,4.0,Email Opened,India,Travel and Tourism,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities of Maharashtra,02.Medium,01.High,15.0,17.0,No,Yes,Email Opened
47,2273,100,Hot,0.99735296,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,02.Medium,01.High,15.0,17.0,No,No,Modified
48,3425,100,Hot,0.9963952,1,1,Lead Add Form,Welingak Website,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,,,,,,No,No,Modified
49,2989,100,Hot,0.9953343,1,1,Landing Page Submission,Direct Traffic,No,No,8.0,1495,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Modified
50,8362,100,Hot,0.99588287,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,541,3.0,Email Opened,Saudi Arabia,Supply Chain Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities of Maharashtra,02.Medium,01.High,15.0,19.0,No,Yes,Email Opened
51,2376,100,Hot,0.99649113,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,,02.Medium,01.High,15.0,17.0,No,No,SMS Sent
52,6550,100,Hot,0.9985134,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Other Cities of Maharashtra,,,,,No,No,Modified
53,4123,100,Hot,0.99753654,1,1,Lead Add Form,Reference,No,No,6.0,1812,2.0,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,,,,,No,Yes,Page Visited on Website
54,1542,100,Hot,0.99747306,1,1,API,Google,No,No,4.0,1272,4.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,16.0,No,No,SMS Sent
55,1365,100,Hot,0.9961887,1,1,Lead Add Form,Welingak Website,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Modified
56,662,100,Hot,0.99664426,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Email Opened
57,7682,100,Hot,0.9962858,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,17.0,No,No,Email Opened
58,5548,100,Hot,0.99615884,1,1,API,Google,No,No,3.0,887,1.0,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
59,6913,100,Hot,0.9956577,1,1,API,Organic Search,No,No,3.0,1584,1.5,Email Link Clicked,India,Finance Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Mumbai,,,,,No,No,Modified
60,2132,100,Hot,0.9976478,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,02.Medium,01.High,15.0,19.0,No,No,Modified
61,4050,100,Hot,0.99543023,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Thane & Outskirts,,,,,No,No,SMS Sent
62,2402,100,Hot,0.9980725,1,1,Landing Page Submission,Google,No,No,6.0,866,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,01.High,01.High,16.0,20.0,No,No,Email Opened
63,5426,100,Hot,0.9967133,1,1,Landing Page Submission,Google,No,No,2.0,910,2.0,Olark Chat Conversation,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified
64,785,100,Hot,0.9954462,1,1,API,Google,No,No,3.0,717,1.5,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
65,5206,100,Hot,0.99520326,1,1,API,Organic Search,No,No,11.0,591,3.67,Email Opened,India,Rural and Agribusiness,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Other Cities,01.High,02.Medium,16.0,13.0,No,Yes,Modified
66,846,100,Hot,0.99530953,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,No,Email Opened
67,7652,100,Hot,0.9958221,1,1,Landing Page Submission,Organic Search,No,No,4.0,1462,4.0,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities of Maharashtra,01.High,01.High,16.0,17.0,No,Yes,SMS Sent
68,2656,100,Hot,0.99688333,1,1,Lead Add Form,Reference,No,No,,1721,,,,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,,,,,,No,No,Modified
69,8060,100,Hot,0.99565387,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Supply Chain Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,SMS Sent
70,2197,100,Hot,0.9967152,1,1,API,Google,No,No,3.0,739,3.0,Email Opened,India,Business Administration,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Email Opened
71,2852,100,Hot,0.9961622,1,1,Landing Page Submission,Organic Search,No,No,7.0,1074,3.5,SMS Sent,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
72,7098,100,Hot,0.9966815,1,1,Landing Page Submission,Google,No,No,8.0,1775,2.67,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Thane & Outskirts,,,,,No,No,Email Opened
73,2356,100,Hot,0.9952864,1,1,API,Google,No,No,6.0,1411,1.5,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Email Opened
74,4940,100,Hot,0.99642307,1,1,API,Google,No,No,4.0,926,4.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,Yes,SMS Sent
75,3926,100,Hot,0.9952077,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,1520,2.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,Yes,SMS Sent
76,2067,100,Hot,0.99655664,1,1,Landing Page Submission,Google,No,No,8.0,1391,2.67,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
77,4194,100,Hot,0.9954739,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Other Metro Cities,,,,,No,No,Email Opened
78,3286,100,Hot,0.9963952,1,1,Lead Add Form,Welingak Website,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,,,,,,No,No,Modified
79,5720,100,Hot,0.99545527,1,1,Landing Page Submission,Direct Traffic,No,No,4.0,1559,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Thane & Outskirts,,,,,No,No,Modified
80,2418,100,Hot,0.99520206,1,1,Landing Page Submission,Google,No,No,8.0,1524,2.67,Olark Chat Conversation,India,Human Resource Management,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified
81,693,100,Hot,0.9969656,1,1,API,Google,No,No,4.0,811,1.33,Email Link Clicked,United States,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Link Clicked
82,8082,100,Hot,0.9951799,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,Email Opened
83,2936,100,Hot,0.99551046,1,1,Landing Page Submission,Direct Traffic,No,No,7.0,1290,7.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,20.0,No,Yes,Modified
84,8261,100,Hot,0.9974457,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,1102,3.0,Email Opened,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
85,1566,100,Hot,0.9962174,1,1,Landing Page Submission,Google,No,No,14.0,1241,3.5,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,01.High,01.High,16.0,20.0,No,No,Email Opened
86,5698,100,Hot,0.99701715,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Page Visited on Website,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,,,,,,No,No,Page Visited on Website
87,3069,100,Hot,0.9955238,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
88,1758,100,Hot,0.9955462,1,1,Lead Add Form,Welingak Website,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,02.Medium,01.High,14.0,17.0,No,No,Email Opened
89,2543,100,Hot,0.99630666,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Thane & Outskirts,02.Medium,01.High,15.0,18.0,No,No,Email Opened
90,4676,100,Hot,0.99662966,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Form Submitted on Website,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,19.0,No,Yes,Modified
91,5319,99,Hot,0.98683804,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,1198,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities,,,,,No,Yes,Email Opened
92,9104,99,Hot,0.9877297,1,1,API,Organic Search,No,No,4.0,860,2.0,SMS Sent,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent
93,4772,99,Hot,0.99407566,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
94,6418,99,Hot,0.9937593,1,1,Landing Page Submission,Direct Traffic,No,No,11.0,608,2.75,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Thane & Outskirts,,,,,No,Yes,Page Visited on Website
